order;subj_no;userID;gender;age;chrono_cat;chrono_score;gold_msi;instrument;education;training;profession;employment;date;first_prompt;timediff;time;day;dayN;day_time;tries;bpm;smt_ms;smt_cv;exp_duration;emotion_type;emotion_cat;emotion_catN;emotion_intensity;stress_level;paq_total;location;activity;company;music_listening;pot_test;pot_general;pot_week;pot_month;pot_year;pot_10years;time_pressure;time_expansion;meta_speed;meta_slowness;sss_score;ipaq_score;ipaq_cat
1;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 08:33;20.07.2020 08:22;0.18;morning;Monday;0;1_1;2;98.3213;610.2439;0.045138962;167428;calm - contentment;positive;0;6;2;11;home;house work;nobody, I am alone;no;6;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
2;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 12:55;20.07.2020 08:22;4.55;afternoon;Monday;0;1_2;1;102.4723;585.5238;0.030172195;148077;pleasure - enjoyment;positive;0;7;1;24;home;relaxation;an acquaintance or colleague;no;5;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
3;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 16:49;20.07.2020 08:22;8.45;evening;Monday;0;1_3;1;100.8081;595.1905;0.043809842;114005;pleasure - enjoyment;positive;0;6;1;12;home;work/study;an acquaintance or colleague;yes;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
4;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 20:28;20.07.2020 08:22;12.1;night;Monday;0;1_4;1;119.6289;501.551;0.079358014;86265;pleasure - enjoyment;positive;0;7;1;8;outdoors;social interaction;several friends or acquaintances;no;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
5;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 08:42;21.07.2020 08:04;0.63;morning;Tuesday;1;2_1;1;120.2019;499.16;0.041034015;205407;pleasure - enjoyment;positive;0;6;1;10;home;relaxation;an acquaintance or colleague;no;7;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
6;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 13:04;21.07.2020 08:04;5;afternoon;Tuesday;1;2_2;1;81.8718;732.8529;0.036452496;140307;calm - contentment;positive;0;6;2;7;home;work/study;nobody, I am alone;yes;5;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
7;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 16:15;21.07.2020 08:04;8.18;evening;Tuesday;1;2_3;1;121.615;493.36;0.215693643;80575;calm - contentment;positive;0;7;1;7;home;work/study;nobody, I am alone;no;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
8;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 20:46;21.07.2020 08:04;12.7;night;Tuesday;1;2_4;1;120.8508;496.48;0.067614358;122553;pleasure - enjoyment;positive;0;7;1;24;outdoors;physical activity;an acquaintance or colleague;yes;2;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
9;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;22.07.2020 08:48;22.07.2020 08:31;0.28;morning;Wednesday;2;3_1;1;123.1785;487.098;0.050815861;89986;calm - contentment;positive;0;7;1;15;home;relaxation;nobody, I am alone;no;4;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
10;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;22.07.2020 12:53;22.07.2020 08:31;4.37;afternoon;Wednesday;2;3_2;2;128.1225;468.3019;0.042845436;131688;calm - contentment;positive;0;6;3;7;home;work/study;nobody, I am alone;yes;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
11;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;NA;22.07.2020 08:31;NA;evening;Wednesday;2;3_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
12;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;22.07.2020 20:47;22.07.2020 08:31;12.27;night;Wednesday;2;3_4;1;100.5724;596.5854;0.296512986;135231;pleasure - enjoyment;positive;0;7;1;7;pub/disco;social interaction;several friends or acquaintances;yes;2;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
13;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;23.07.2020 09:09;23.07.2020 08:47;0.37;morning;Thursday;3;4_1;1;131.3656;456.7407;0.051555673;91360;calm - contentment;positive;0;7;1;15;home;relaxation;nobody, I am alone;no;5;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
14;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;23.07.2020 12:41;23.07.2020 08:47;3.9;afternoon;Thursday;3;4_2;2;99.5629;602.6341;0.032442162;127492;pleasure - enjoyment;positive;0;6;2;7;home;work/study;nobody, I am alone;yes;4;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
15;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;23.07.2020 16:54;23.07.2020 08:47;8.12;evening;Thursday;3;4_3;1;102.5599;585.0238;0.063611054;107255;pleasure - enjoyment;positive;0;7;1;24;outdoors;physical activity;nobody, I am alone;yes;5;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
16;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;23.07.2020 20:17;23.07.2020 08:47;11.5;night;Thursday;3;4_4;1;81.018;740.5758;0.090967454;143336;calm - contentment;positive;0;7;1;11;home;watching TV/movie;nobody, I am alone;yes;1;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
17;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;24.07.2020 08:44;24.07.2020 08:11;0.55;morning;Friday;4;5_1;1;76.2076;787.3226;0.034782955;82441;calm - contentment;positive;0;6;2;19;home;relaxation;nobody, I am alone;no;4;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
18;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;24.07.2020 13:10;24.07.2020 08:11;4.98;afternoon;Friday;4;5_2;2;74.7649;802.5161;0.232461318;134072;calm - contentment;positive;0;6;2;25;home;having a meal;nobody, I am alone;no;4;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
19;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;24.07.2020 16:24;24.07.2020 08:11;8.22;evening;Friday;4;5_3;1;80.38;746.4545;0.18234085;106332;pleasure - enjoyment;positive;0;6;1;21;home;social interaction;nobody, I am alone;no;5;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
20;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;24.07.2020 20:41;24.07.2020 08:11;12.5;night;Friday;4;5_4;1;76.0767;788.6774;0.168999215;129047;pleasure - enjoyment;positive;0;7;1;9;another person's home;listening to music;several friends or acquaintances;yes;1;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
21;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;25.07.2020 09:43;25.07.2020 08:47;0.93;morning;Saturday;5;6_1;1;108.2902;554.0667;0.085787808;80738;calm - contentment;positive;0;5;1;7;outdoors;work/study;a large crowd;no;2;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
22;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;NA;25.07.2020 08:47;NA;afternoon;Saturday;5;6_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
23;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;25.07.2020 16:10;25.07.2020 08:47;7.38;evening;Saturday;5;6_3;1;80.7834;742.7273;0.17846127;58944;calm - contentment;positive;0;6;1;7;home;relaxation;nobody, I am alone;no;2;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
24;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;25.07.2020 20:36;25.07.2020 08:47;11.82;night;Saturday;5;6_4;1;97.9632;612.475;0.037861829;92073;calm - contentment;positive;0;7;1;18;home;having a meal;nobody, I am alone;yes;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
25;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;26.07.2020 10:12;26.07.2020 08:37;1.58;morning;Sunday;6;7_1;1;91.3754;656.6316;0.294947614;118531;calm - contentment;positive;0;7;1;18;home;listening to music;nobody, I am alone;yes;1;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
26;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;26.07.2020 12:39;26.07.2020 08:37;4.03;afternoon;Sunday;6;7_2;1;86.96;689.9722;0.047728464;74723;calm - contentment;positive;0;7;1;13;home;watching TV/movie;nobody, I am alone;yes;1;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
27;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;26.07.2020 17:32;26.07.2020 08:37;8.92;evening;Sunday;6;7_3;1;95.1452;630.6154;0.03801164;82256;calm - contentment;positive;0;6;1;20;home;watching TV/movie;nobody, I am alone;yes;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
28;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;26.07.2020 20:55;26.07.2020 08:37;12.3;night;Sunday;6;7_4;1;83.2653;720.5882;0.074134855;314916;pleasure - enjoyment;positive;0;7;1;7;pub/disco;social interaction;an acquaintance or colleague;yes;1;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
29;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;20.07.2020 08:40;20.07.2020 08:22;0.3;morning;Monday;0;1_1;1;70.6742;848.9655;0.053902498;177161;calm - contentment;positive;0;6;2;16;home;relaxation;nobody, I am alone;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
30;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;20.07.2020 12:40;20.07.2020 08:22;4.3;afternoon;Monday;0;1_2;1;79.238;757.2121;0.076476447;111999;calm - contentment;positive;0;6;3;13;home;relaxation;nobody, I am alone;yes;6;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
31;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;20.07.2020 17:01;20.07.2020 08:22;8.65;evening;Monday;0;1_3;1;120.88;496.36;0.281643428;96983;interest - expectancy ;positive;0;6;4;14;home;work/study;nobody, I am alone;no;3;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
32;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;20.07.2020 20:58;20.07.2020 08:22;12.6;night;Monday;0;1_4;1;96.1808;623.825;0.089963126;115553;love - tenderness;positive;0;7;1;8;home;watching TV/movie;partner or friend;no;4;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
33;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;21.07.2020 08:23;21.07.2020 08:04;0.32;morning;Tuesday;1;2_1;1;93.4503;642.0526;0.072253825;88404;boredom - indifference;negative;1;6;3;23;transport;travel;nobody, I am alone;no;2;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
34;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;21.07.2020 13:13;21.07.2020 08:04;5.15;afternoon;Tuesday;1;2_2;1;87.4175;686.3611;0.055062378;88105;boredom - indifference;negative;1;4;6;16;work/university/school;work/study;an acquaintance or colleague;no;1;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
35;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;21.07.2020 16:15;21.07.2020 08:04;8.18;evening;Tuesday;1;2_3;1;84.9721;706.1143;0.051901988;123638;boredom - indifference;negative;1;4;5;14;home;listening to music;nobody, I am alone;yes;4;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
36;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;21.07.2020 20:56;21.07.2020 08:04;12.87;night;Tuesday;1;2_4;1;102.2271;586.9286;0.055909803;100558;love - tenderness;positive;0;7;2;8;home;watching TV/movie;partner or friend;no;2;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
37;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;22.07.2020 08:38;22.07.2020 08:31;0.12;morning;Wednesday;2;3_1;1;86.4696;693.8857;0.22888817;90253;Nervosität;negative;1;7;6;15;transport;travel;one or more strangers;no;2;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
38;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;22.07.2020 12:53;22.07.2020 08:31;4.37;afternoon;Wednesday;2;3_2;1;104.6314;573.4419;0.046477594;88340;Nervosität;negative;1;7;7;13;work/university/school;work/study;an acquaintance or colleague;no;2;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
39;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;22.07.2020 16:13;22.07.2020 08:31;7.7;evening;Wednesday;2;3_3;1;82.0298;731.4412;0.050763191;106716;interest - expectancy ;positive;0;6;6;13;home;relaxation;nobody, I am alone;yes;4;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
40;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;22.07.2020 20:52;22.07.2020 08:31;12.35;night;Wednesday;2;3_4;1;84.5921;709.2857;0.044125037;82196;love - tenderness;positive;0;7;5;12;home;relaxation;partner or friend;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
41;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;23.07.2020 09:14;23.07.2020 08:47;0.45;morning;Thursday;3;4_1;1;79.1198;758.3438;0.044324556;84045;interest - expectancy ;positive;0;6;4;12;home;relaxation;nobody, I am alone;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
42;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;23.07.2020 12:59;23.07.2020 08:47;4.2;afternoon;Thursday;3;4_2;1;79.5852;753.9091;0.040062809;79154;anger - irritation;negative;1;6;6;15;home;work/study;nobody, I am alone;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
43;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;23.07.2020 16:41;23.07.2020 08:47;7.9;evening;Thursday;3;4_3;1;76.7939;781.3125;0.041350347;79852;interest - expectancy ;positive;0;6;4;13;home;work/study;nobody, I am alone;no;4;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
44;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;23.07.2020 20:31;23.07.2020 08:47;11.73;night;Thursday;3;4_4;1;92.405;649.3158;0.076508174;85635;boredom - indifference;negative;1;5;3;14;home;relaxation;my family;no;3;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
45;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;24.07.2020 09:04;24.07.2020 08:11;0.88;morning;Friday;4;5_1;1;91.2876;657.2632;0.060849099;165648;interest - expectancy ;positive;0;7;4;23;home;house work;my family;yes;3;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
46;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;24.07.2020 12:45;24.07.2020 08:11;4.57;afternoon;Friday;4;5_2;1;83.5449;718.1765;0.04356656;84185;interest - expectancy ;positive;0;6;5;18;home;work/study;my family;no;4;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
47;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;24.07.2020 18:20;24.07.2020 08:11;10.15;evening;Friday;4;5_3;1;102.4432;585.6905;0.054469041;83114;interest - expectancy ;positive;0;7;6;21;home;work/study;my family;no;1;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
48;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;24.07.2020 22:05;24.07.2020 08:11;13.9;night;Friday;4;5_4;1;84.1211;713.2571;0.070920021;84543;boredom - indifference;negative;1;5;2;23;home;watching TV/movie;my family;no;3;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
49;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;25.07.2020 09:00;25.07.2020 08:47;0.22;morning;Saturday;5;6_1;2;75.6436;793.1935;0.066907386;118686;interest - expectancy ;positive;0;6;2;24;home;relaxation;my family;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
50;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;25.07.2020 12:49;25.07.2020 08:47;4.03;afternoon;Saturday;5;6_2;1;75.0272;799.7097;0.040251047;189355;interest - expectancy ;positive;0;3;3;15;home;watching TV/movie;my family;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
51;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;25.07.2020 16:13;25.07.2020 08:47;7.43;evening;Saturday;5;6_3;1;66.9117;896.7037;0.055905649;90633;boredom - indifference;negative;1;3;3;14;home;relaxation;my family;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
52;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;25.07.2020 20:24;25.07.2020 08:47;11.62;night;Saturday;5;6_4;1;82.7032;725.4857;0.050018947;86930;boredom - indifference;negative;1;7;3;17;home;watching TV/movie;my family;no;6;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
53;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;26.07.2020 08:38;26.07.2020 08:37;0.02;morning;Sunday;6;7_1;1;111.0843;540.1304;0.080578522;72996;interest - expectancy ;positive;0;4;2;19;home;relaxation;my family;no;4;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
54;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;26.07.2020 12:54;26.07.2020 08:37;4.28;afternoon;Sunday;6;7_2;1;75.8998;790.5161;0.043635271;69975;boredom - indifference;negative;1;6;2;17;home;relaxation;my family;no;6;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
55;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;26.07.2020 16:53;26.07.2020 08:37;8.27;evening;Sunday;6;7_3;1;75.9804;789.6774;0.068597902;73621;boredom - indifference;negative;1;6;2;15;home;watching TV/movie;my family;no;5;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
56;2;afi24Wi;female;22;neither;55;58;none;6;1;7;5;26.07.2020 20:54;26.07.2020 08:37;12.28;night;Sunday;6;7_4;1;74.5431;804.9032;0.073191875;81817;love - tenderness;positive;0;6;3;17;another person's home;watching TV/movie;partner or friend;no;4;1;1;2;1;0;3;1.2;3;1;0.5;1040;moderate
57;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;20.07.2020 08:26;20.07.2020 08:22;0.07;morning;Monday;0;1_1;1;115.2;520.8333;0.048356013;130730;calm - contentment;positive;0;5;2;15;home;relaxation;nobody, I am alone;no;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
58;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;20.07.2020 12:26;20.07.2020 08:22;4.07;afternoon;Monday;0;1_2;1;180.6939;332.0533;0.04756084;160346;Genervtheit/ Stress ;negative;1;5;5;19;home;work/study;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
59;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;20.07.2020 17:02;20.07.2020 08:22;8.67;evening;Monday;0;1_3;1;200.4694;299.2976;0.079486579;161911;boredom - indifference;negative;1;4;4;27;transport;travel;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
60;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;20.07.2020 20:18;20.07.2020 08:22;11.93;night;Monday;0;1_4;1;137.8491;435.2586;0.049710542;119592;calm - contentment;positive;0;5;2;14;home;relaxation;my family;no;4;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
61;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;21.07.2020 08:23;21.07.2020 08:04;0.32;morning;Tuesday;1;2_1;1;129.1145;464.7037;0.050779492;226428;calm - contentment;positive;0;2;1;17;home;relaxation;nobody, I am alone;yes;3;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
62;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;21.07.2020 12:37;21.07.2020 08:04;4.55;afternoon;Tuesday;1;2_2;1;162.6729;368.8382;0.055969697;134972;interest - expectancy ;positive;0;4;2;14;home;watching TV/movie;nobody, I am alone;no;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
63;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;21.07.2020 16:23;21.07.2020 08:04;8.32;evening;Tuesday;1;2_3;1;252.0109;238.0849;0.06059819;128143;calm - contentment;positive;0;6;1;15;another person's home;social interaction;partner or friend;no;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
64;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;21.07.2020 21:57;21.07.2020 08:04;13.88;night;Tuesday;1;2_4;1;250.4817;239.5385;0.052926388;114446;pleasure - enjoyment;positive;0;5;2;25;home;physical activity;my family;no;4;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
65;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;22.07.2020 08:32;22.07.2020 08:31;0.02;morning;Wednesday;2;3_1;1;166.7659;359.7857;0.061058814;141436;calm - contentment;positive;0;6;1;17;home;relaxation;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
66;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;22.07.2020 12:53;22.07.2020 08:31;4.37;afternoon;Wednesday;2;3_2;1;187.3649;320.2308;0.061510846;97575;boredom - indifference;negative;1;5;1;17;home;work/study;nobody, I am alone;no;6;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
67;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;22.07.2020 16:28;22.07.2020 08:31;7.95;evening;Wednesday;2;3_3;1;180.9596;331.5658;0.057896757;106550;pleasure - enjoyment;positive;0;4;2;21;home;work/study;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
68;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;22.07.2020 21:08;22.07.2020 08:31;12.62;night;Wednesday;2;3_4;1;295.5898;202.984;0.0831723;146388;happiness - elation ;positive;0;6;1;17;outdoors;physical activity;my family;no;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
69;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;23.07.2020 09:13;23.07.2020 08:47;0.43;morning;Thursday;3;4_1;1;197.1106;304.3976;0.052629435;97866;calm - contentment;positive;0;5;2;14;home;relaxation;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
70;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;23.07.2020 12:27;23.07.2020 08:47;3.67;afternoon;Thursday;3;4_2;1;272.082;220.5217;0.098869214;139091;boredom - indifference;negative;1;4;1;19;outdoors;travel;nobody, I am alone;no;4;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
71;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;23.07.2020 16:37;23.07.2020 08:47;7.83;evening;Thursday;3;4_3;1;179.0974;335.0132;0.063556121;91377;boredom - indifference;negative;1;5;2;14;home;work/study;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
72;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;23.07.2020 20:19;23.07.2020 08:47;11.53;night;Thursday;3;4_4;1;266.8241;224.8673;0.05797816;109970;pleasure - enjoyment;positive;0;4;1;15;home;social interaction;partner or friend;no;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
73;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;24.07.2020 08:46;24.07.2020 08:11;0.58;morning;Friday;4;5_1;1;243.4852;246.4216;0.058381371;159382;Angst;negative;1;4;1;18;home;relaxation;nobody, I am alone;no;4;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
74;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;24.07.2020 12:30;24.07.2020 08:11;4.32;afternoon;Friday;4;5_2;1;215.0792;278.967;0.06999173;183592;interest - expectancy ;positive;0;5;2;17;home;relaxation;nobody, I am alone;yes;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
75;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;24.07.2020 16:15;24.07.2020 08:11;8.07;evening;Friday;4;5_3;1;289.912;206.9593;0.051451688;90313;pleasure - enjoyment;positive;0;5;1;13;another person's home;social interaction;partner or friend;no;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
76;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;24.07.2020 20:41;24.07.2020 08:11;12.5;night;Friday;4;5_4;1;239.3872;250.64;0.068734463;92006;pleasure - enjoyment;positive;0;6;1;14;home;social interaction;my family;no;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
77;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;25.07.2020 08:52;25.07.2020 08:47;0.08;morning;Saturday;5;6_1;1;214.4133;279.8333;0.055803564;133070;boredom - indifference;negative;1;4;1;16;home;other;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
78;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;25.07.2020 12:50;25.07.2020 08:47;4.05;afternoon;Saturday;5;6_2;1;237.7839;252.33;0.046938661;83471;boredom - indifference;negative;1;4;3;16;home;work/study;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
79;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;25.07.2020 16:11;25.07.2020 08:47;7.4;evening;Saturday;5;6_3;1;235.1742;255.13;0.063527652;98956;pleasure - enjoyment;positive;0;6;4;19;home;other;nobody, I am alone;no;5;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
80;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;25.07.2020 21:22;25.07.2020 08:47;12.58;night;Saturday;5;6_4;1;324.9526;184.6423;0.049687924;125891;pleasure - enjoyment;positive;0;6;1;12;another person's home;social interaction;several friends or acquaintances;yes;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
81;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;26.07.2020 09:16;26.07.2020 08:37;0.65;morning;Sunday;6;7_1;1;168.4793;356.1268;0.067636707;131025;calm - contentment;positive;0;3;3;21;home;relaxation;nobody, I am alone;no;4;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
82;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;26.07.2020 12:37;26.07.2020 08:37;4;afternoon;Sunday;6;7_2;1;254.671;235.5981;0.07091012;126341;Spannung;positive;0;7;1;19;home;watching TV/movie;nobody, I am alone;yes;7;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
83;3;amp22b;female;29;neither;53;86;vocals;6;7;5;3;26.07.2020 16:53;26.07.2020 08:37;8.27;evening;Sunday;6;7_3;1;226.2803;265.1579;0.212128117;92776;calm - contentment;positive;0;4;3;20;home;sleeping;nobody, I am alone;no;4;0;-1;0;1;-1;2.2;1.4;3;1.67;0.48;1782;moderate
